Date,High,Low,Open,Close,Volume,Adj Close
2018-12-03,235.0,231.0,231.0,235.0,45333986.0,235.0
2018-12-04,234.5,231.0,233.0,234.0,39746162.0,234.0
2018-12-05,227.5,225.0,226.5,226.0,42835576.0,226.0
2018-12-06,222.0,219.5,220.0,220.0,40149112.0,220.0
2018-12-07,223.5,220.5,222.5,221.0,25063568.0,221.0
2018-12-10,220.0,218.5,219.5,219.0,19433461.0,219.0
2018-12-11,223.0,219.0,220.0,222.5,27375220.0,222.5
2018-12-12,227.0,222.5,223.5,226.5,26433846.0,226.5
2018-12-13,227.5,225.0,227.0,226.0,32087141.0,226.0
2018-12-14,223.5,220.5,223.0,222.5,38646159.0,222.5
2018-12-17,225.0,220.0,221.0,223.5,18938952.0,223.5
2018-12-18,223.0,220.5,221.0,222.5,30203541.0,222.5
2018-12-19,225.5,222.0,222.0,225.5,23390082.0,225.5
2018-12-20,222.5,221.0,221.0,221.0,35027116.0,221.0
2018-12-21,224.0,219.0,219.0,223.5,43507532.0,223.5
2018-12-24,221.5,219.5,221.5,220.0,22976100.0,220.0
2018-12-25,218.0,215.0,215.5,217.5,19402777.0,217.5
2018-12-26,219.5,216.0,218.5,216.5,16463259.0,216.5
2018-12-27,224.0,220.5,222.0,223.0,21491484.0,223.0
2018-12-28,225.5,222.5,223.5,225.5,29456773.0,225.5
2019-01-02,226.5,219.0,226.5,219.5,32900482.0,219.5
2019-01-03,218.0,214.0,214.0,215.5,34087620.0,215.5
2019-01-04,211.5,206.5,211.5,208.0,65943521.0,208.0
